"ll_gissqft","ll_gisacre","landval","parval","usedesc","city"
15916,0.36537,40000,193080,"Residential","Dallas"
12762,0.29297,63790,276580,"Residential","Dallas"
8085,0.18559,35000,147410,"Residential","Dallas"
7220,0.16575,25000,103660,"Residential","Dallas"
9004,0.2067,22500,130710,"Residential","Dallas"
9291,0.21329,18000,81690,"Residential","Dallas"
17950,0.41207,40000,154160,"Residential","Dallas"
5002,0.11482,45000,255310,"Residential","Dallas"
6752,0.155,39000,138980,"Residential","Dallas"
12004,0.27557,60000,60000,"Commercial","Dallas"
8841,0.20296,40000,132560,"Residential","Dallas"
9942,0.22822,40000,166630,"Residential","Dallas"
7563,0.17361,38000,177320,"Residential","Dallas"
9064,0.20807,100,100,"Residential","Dallas"
49621,1.13912,34000,150000,"Residential","Dallas"
8781,0.20158,35000,177130,"Residential","Dallas"
6752,0.155,25000,118260,"Residential","Dallas"
7272,0.16694,38000,102810,"Residential","Dallas"
7571,0.17381,40000,147620,"Residential","Dallas"
10008,0.22975,40000,236470,"Residential","Dallas"
5225,0.11995,40000,122840,"Residential","Dallas"
3101,0.07119,19440,204000,"Commercial","Dallas"
4002,0.09187,40000,177040,"Residential","Dallas"
3376,0.0775,20250,81000,"Commercial","Dallas"
6905,0.15852,100,100,"Residential","Dallas"
7563,0.17361,38000,156850,"Residential","Dallas"
11529,0.26467,30000,131950,"Residential","Dallas"
6752,0.15501,38000,153000,"Residential","Dallas"
24819,0.56974,61500,132540,"Residential","Dallas"
8703,0.19979,43500,123750,"Residential","Dallas"
10008,0.22975,40000,138240,"Residential","Dallas"
7767,0.17829,40000,178430,"Residential","Dallas"
10003,0.22963,25000,103470,"Residential","Dallas"
7399,0.16985,38000,162570,"Residential","Dallas"
7526,0.17277,30000,104930,"Residential","Dallas"
7197,0.16523,30000,160210,"Residential","Dallas"
11152,0.256,35000,163660,"Residential","Dallas"
12876,0.29559,55190,109360,"Residential","Dallas"
11496,0.2639,38000,38000,"Residential","Dallas"
8256,0.18952,45000,165230,"Residential","Dallas"
8932,0.20504,15000,154000,"Residential","Dallas"
7338,0.16845,25000,114120,"Residential","Dallas"
7903,0.18142,25000,138860,"Residential","Dallas"
9011,0.20685,40000,187810,"Residential","Dallas"
7233,0.16604,35000,186820,"Residential","Dallas"
7202,0.16534,40000,139660,"Residential","Dallas"
12668,0.29082,40000,198190,"Residential","Dallas"
6752,0.15501,38000,193050,"Residential","Dallas"
6762,0.15523,40000,225210,"Residential","Dallas"
6752,0.15501,38000,164220,"Residential","Dallas"
7202,0.16534,40000,173950,"Residential","Dallas"
8128,0.18658,35000,126260,"Residential","Dallas"
3969,0.09112,15000,21280,"Residential","Dallas"
6752,0.15501,38000,166190,"Residential","Dallas"
6343,0.1456,40000,143630,"Residential","Dallas"
2332,0.05354,50000,335180,"Residential","Dallas"
